Age,M,F
0,613359,583002
1,621899,590721
2,642563,609626
3,694014,657576
4,753065,713019
5,787891,746218
6,798746,753893
7,792495,744567
8,772024,725601
9,745837,702371
10,721991,681168
11,705133,666096
12,692993,654972
13,679856,642761
14,665656,629524
15,651707,616750
16,634668,601389
17,613458,582339
18,596230,566966
19,587111,559113
20,583863,556120
21,584337,556085
22,588432,560116
23,593454,567556
24,595331,574516
25,605014,586753
26,629886,609062
27,666388,642284
28,708998,682278
29,752306,723050
30,806952,775840
31,855755,822399
32,885581,850479
33,901743,866216
34,901255,870572
35,926665,897384
36,951061,919991
37,945788,915784
38,919601,887775
39,871046,838297
40,850757,814303
41,827474,788878
42,773627,739413
43,721650,692215
44,675332,648482
45,647870,619542
46,625007,594687
47,594797,565093
48,573721,544639
49,553809,525377
50,553570,524540
51,547999,520534
52,519782,497442
53,496354,480772
54,461657,454082
55,438840,436903
56,420351,420724
57,398380,396693
58,391338,387070
59,383038,378510
60,375375,373045
61,362531,362929
62,343074,344858
63,326584,329270
64,307051,310089
65,288820,291996
66,276221,277935
67,263889,264659
68,254601,254856
69,248613,246462
70,239439,236174
71,225607,223073
72,209679,207169
73,181941,180969
74,155299,158517
75,140194,146489
76,125689,133464
77,112118,121183
78,99488,109833
79,87719,99370
80,76778,89542
81,66324,80085
82,56840,71384
83,48395,63407
84,40094,55185
85,31860,46455
86,24401,37980
87,18297,30552
88,13533,24241
89,9760,18721
90,6832,14026
91,4646,10207
92,3073,7231
93,1970,4968
94,1230,3328
95,754,2183
96,444,1383
97,246,828
98,128,470
99,62,249
100+,44,209
