Country,Total number of hemophilia A patients,0-4,5-13,14-18,19-44,45+,Age not known
Albania,220,0%,10%,5%,58%,27%,0%
Algeria,"2,124",4%,14%,15%,57%,11%,0%
Argentina,"2,468",2%,11%,10%,46%,29%,2%
Armenia,218,14%,22%,7%,36%,21%,0%
Australia,"2,504",6%,13%,8%,38%,35%,0%
Austria,733,6%,10%,8%,44%,32%,0%
Bahamas,9,0%,0%,11%,67%,22%,0%
Bahrain,105,11%,26%,31%,22%,10%,0%
Bangladesh,"2,692",14%,32%,18%,33%,3%,0%
Belarus,513,5%,12%,4%,79%,0%,0%
Belgium,"1,085",2%,9%,7%,35%,47%,0%
Belize,15,0%,7%,13%,80%,0%,0%
Bolivia,173,12%,31%,17%,32%,8%,0%
Botswana,52,12%,33%,13%,40%,2%,0%
Brazil,"11,618",4%,14%,9%,49%,24%,0%
Burundi,11,36%,9%,36%,18%,0%,0%
Cambodia,259,7%,37%,22%,33%,0%,0%
Cameroon,214,23%,41%,31%,3%,2%,0%
Canada,"3,570",4%,11%,7%,42%,36%,0%
Chile,"1,732",4%,12%,10%,50%,23%,0%
Colombia,"3,417",7%,13%,12%,58%,11%,0%
"Congo, Democratic
republic of",73,26%,33%,18%,21%,3%,0%
Côte d'Ivoire,136,15%,31%,21%,29%,4%,0%
Croatia,265,4%,10%,8%,44%,34%,0%
Cuba,406,3%,10%,9%,48%,30%,0%
Czechia,906,5%,15%,7%,38%,35%,0%
Denmark,441,3%,5%,2%,39%,40%,10%
Djibouti,16,0%,63%,25%,6%,6%,0%
Dominican Republic,425,4%,19%,9%,46%,10%,12%
Egypt,"5,769",6%,22%,11%,51%,10%,0%
El Salvador,82,15%,59%,27%,0%,0%,0%
Eritrea,77,12%,30%,18%,36%,1%,3%
Ethiopia,228,5%,34%,20%,39%,2%,0%
Georgia,300,4%,17%,11%,44%,24%,0%
Ghana,413,23%,48%,15%,5%,2%,7%
Greece,848,4%,8%,5%,36%,48%,0%
Guyana,28,0%,21%,14%,46%,18%,0%
Honduras,325,9%,19%,13%,41%,5%,13%
Hong Kong,131,5%,11%,13%,59%,11%,1%
Hungary,927,4%,7%,5%,31%,53%,0%
India,"22,133",2%,13%,11%,46%,12%,16%
Indonesia,"3,034",6%,30%,20%,39%,4%,2%
Iran,"5,914",1%,12%,7%,37%,19%,24%
Iraq,"2,787",17%,36%,25%,20%,3%,0%
Ireland,720,6%,16%,9%,37%,32%,0%
Israel,654,14%,17%,9%,37%,22%,0%
Japan,"5,869",4%,12%,6%,37%,40%,1%
Kenya,826,12%,31%,22%,31%,4%,0%
"Korea, Republic of","1,824",2%,11%,6%,51%,30%,0%
Kyrgyzstan,337,16%,27%,23%,29%,5%,0%
Latvia,93,1%,20%,0%,0%,23%,56%
Lebanon,209,5%,22%,10%,43%,20%,1%
Lesotho,16,0%,13%,6%,75%,6%,0%
Libya,352,9%,33%,15%,30%,7%,6%
Lithuania,180,0%,0%,0%,0%,0%,100%
Macedonia,196,2%,3%,5%,31%,44%,15%
