persian_name,english_name,brand,owner,price,dosage_form,code,generic_code
آریوسون پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 2.4 mg (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هفت فعال),"(FACTOR VIIA INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 2.4 mg )ARYOSEVEN INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 2.4 mg",آریوژن فارمد,آریوژن فارمد,"100,000,000","1 VIAL, GLASS in 1 BOX",8089630345413017,94
نووسون آر تی پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 2 mg (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هفت فعال),"(FACTOR VIIA INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 2 mg )NOVOSEVEN RT INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 2 mg",Novo Nordisk As,نوو نور دیسک پارس,0,"2 MILLIGRAM in 1 VIAL, GLASS",2851084758196902,14457
آریوسون پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 4.8 mg (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هفت فعال),"(FACTOR VIIA INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 4.8 mg )ARYOSEVEN INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 4.8 mg",آریوژن فارمد,آریوژن فارمد,"200,000,000","1 VIAL, GLASS in 1 BOX",8230841839208720,95
نووسون آر تی پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 1 mg (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هفت فعال),"(FACTOR VIIA INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1 mg )NOVOSEVEN RT INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1 mg",Novonordisk,آریوژن فارمد,0,"1 MILLIGRAM in 1 VIAL, GLASS",7672162456512605,14456
نووسون پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 1 mg (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هفت فعال),"(FACTOR VIIA INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1 mg )NOVOSEVEN INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1 mg",Novonordisk,آریوژن فارمد,0,1 VIAL in 1 BOX,7954851452920744,14456
نووسون آر تی پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 1 mg (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هفت فعال),"(FACTOR VIIA INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1 mg )NOVOSEVEN RT INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1 mg",Novo Nordisk Pharma Gmbh,رایان دارو ایرانیان,0,1 VIAL in 1 BOX,5052243416496247,14456
نووسون آر تی پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 1 mg (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هفت فعال),"(FACTOR VIIA INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1 mg )NOVOSEVEN RT INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1 mg",Novonordisk,آریوژن فارمد,0,1 MILLIGRAM in 1 VIAL,1806128328570630,14456
نووسون آر تی پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 2 mg (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هفت فعال),"(FACTOR VIIA INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 2 mg )NOVOSEVEN RT INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 2 mg",Novonordisk,تدبیر کیمیا اکسیر,0,"1 VIAL, GLASS in 1 PACKAGE",3686457615945424,14457
آریوسون آر تی پودر لئوفیلیزه برای تهیه سوسپانسیون تزریقی پرنترال 5 mg (پودر لئوفیلیزه برای تهیه سوسپانسیون تزریقی فاکتور هفت فعال),"(FACTOR VIIA INJECTION, POWDER, LYOPHILIZED, FOR SUSPENSION PARENTERAL 5 mg )ARYOSEVEN RT INJECTION, POWDER, LYOPHILIZED, FOR SUSPENSION PARENTERAL 5 mg",آریوژن فارمد,آریوژن فارمد,"142,480,536","1 VIAL, GLASS in 1 BOX",2225221627329687,52268
آریوسون پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 1.2 mg (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هفت فعال),"(FACTOR VIIA INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1.2 mg )ARYOSEVEN INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1.2 mg",آریوژن فارمد,آریوژن فارمد,"50,000,000","1 VIAL, GLASS in 1 BOX",7594204592763038,2682
آریوسون آر تی پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 2 mg (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هفت فعال),"(FACTOR VIIA INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 2 mg )ARYOSEVEN RT INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 2 mg",آریوژن فارمد,آریوژن فارمد,"56,992,214","1 VIAL, GLASS in 1 BOX",6261353559812028,14457
نووسون آر تی پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 1 mg (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هفت فعال),"(FACTOR VIIA INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1 mg )NOVOSEVEN RT INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1 mg",Novo Nordisk As,نوو نور دیسک پارس,-,"1 VIAL, GLASS in 1 PACKAGE",4424288073366055,14456
آریوسون آر تی پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 1 mg (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هفت فعال),"(FACTOR VIIA INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1 mg )ARYOSEVEN RT INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1 mg",آریوژن فارمد,آریوژن فارمد,"41,600,000","1 VIAL, GLASS in 1 BOX",8866518244369250,14456
نووسون آر تی پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 1 mg (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هفت فعال),"(FACTOR VIIA INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1 mg )NOVOSEVEN RT INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1 mg",Novonordisk,تدبیر کیمیا اکسیر,0,"1 VIAL, GLASS in 1 PACKAGE",5046926374156924,14456
نووسون پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 1 mg (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هفت فعال),"(FACTOR VIIA INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1 mg )NOVOSEVEN INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1 mg",Novo Nordisk,آریوژن فارمد,0,1 VIAL in 1 BOX,7714755253316067,14456
ویلیت پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 500 [iU]/500 [iU] (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هشت / ون ویلبرند),"(FACTOR VIII / VON WILLEBRAND FACTOR INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU]/500 [iU] )WILATE INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU]/500 [iU]",Octapharma,پالایش و پژوهش خون,"46,057,000","1 VIAL, GLASS in 1 BOX",7643453470605443,51012
