wtp_irr_per_qaly,incremental_nmb_irr,preferred_strategy
0.0,-33427846822.8429,On-demand
10000000000.0,-31025074664.5432,On-demand
18000000000.0,-29102856937.903442,On-demand
50000000000.0,-21413986031.344414,On-demand
100000000000.0,-9400125239.845924,On-demand
125000000000.0,-3393194844.0966797,On-demand
150000000000.0,2613735551.652561,Prophylaxis
175000000000.0,8620665947.401806,Prophylaxis
200000000000.0,14627596343.15105,Prophylaxis
250000000000.0,26641457134.64954,Prophylaxis
300000000000.0,38655317926.148026,Prophylaxis
