wtp_billion_irr_per_qaly,mean_inmb_billion_irr,probability_prophylaxis_cost_effective,evpi_billion_irr_per_patient,evpi_irr_per_patient
0.0,-33.493564739879325,0.0,0.0,0.0
18.0,-29.28962707775924,0.0,0.0,0.0
50.0,-21.815960122879062,0.0004,0.00025872561576118164,258725.61576118163
100.0,-10.138355505878794,0.1248,0.8408182403969824,840818240.3969824
125.0,-4.299553197378661,0.296,2.720636171177271,2720636171.177271
150.0,1.5392491111214734,0.4704,4.266715117838077,4266715117.8380766
175.0,7.378051419621608,0.6416,2.487135091268632,2487135091.268632
200.0,13.216853728121741,0.7704,1.4147844368529168,1414784436.8529167
250.0,24.894458345122008,0.9096,0.43264680725032045,432646807.25032043
300.0,36.572062962122274,0.9712,0.13068527919042205,130685279.19042206
