wtp_irr_per_qaly,probability_cost_effective
0.0,0.0
2000000000.0,0.0
4000000000.0,0.0
6000000000.0,0.0
8000000000.0,0.0
10000000000.0,0.0
12000000000.0,0.0
14000000000.0,0.0
16000000000.0,0.0
18000000000.0,0.0
20000000000.0,0.0
22000000000.0,0.0
24000000000.0,0.0
26000000000.0,0.0
28000000000.0,0.0
30000000000.0,0.0
32000000000.0,0.0
34000000000.0,0.0
36000000000.0,0.0
38000000000.0,0.0
40000000000.0,0.0
42000000000.0,0.0
44000000000.0,0.0
46000000000.0,0.0
48000000000.0,0.0
50000000000.0,0.0004
52000000000.0,0.0004
54000000000.0,0.0008
56000000000.0,0.0016
58000000000.0,0.0028
60000000000.0,0.0036
62000000000.0,0.006
64000000000.0,0.008
66000000000.0,0.01
68000000000.0,0.0136
70000000000.0,0.0176
72000000000.0,0.0204
74000000000.0,0.0236
76000000000.0,0.026
78000000000.0,0.0312
80000000000.0,0.038
82000000000.0,0.0428
84000000000.0,0.0504
86000000000.0,0.0572
88000000000.0,0.066
90000000000.0,0.0768
92000000000.0,0.0856
94000000000.0,0.0948
96000000000.0,0.1052
98000000000.0,0.1152
100000000000.0,0.1264
102000000000.0,0.1408
104000000000.0,0.152
106000000000.0,0.1628
108000000000.0,0.1732
110000000000.0,0.1888
112000000000.0,0.202
114000000000.0,0.2208
116000000000.0,0.236
118000000000.0,0.2504
120000000000.0,0.2616
122000000000.0,0.2752
124000000000.0,0.292
126000000000.0,0.3048
128000000000.0,0.3236
130000000000.0,0.3364
132000000000.0,0.352
134000000000.0,0.3644
136000000000.0,0.3824
138000000000.0,0.3964
140000000000.0,0.4072
142000000000.0,0.4232
144000000000.0,0.4332
146000000000.0,0.4488
148000000000.0,0.4596
150000000000.0,0.4744
152000000000.0,0.4884
154000000000.0,0.502
156000000000.0,0.52
158000000000.0,0.5364
160000000000.0,0.5512
162000000000.0,0.5652
164000000000.0,0.58
166000000000.0,0.5936
168000000000.0,0.6008
170000000000.0,0.61
172000000000.0,0.624
174000000000.0,0.6388
176000000000.0,0.65
178000000000.0,0.66
180000000000.0,0.6708
182000000000.0,0.6816
184000000000.0,0.692
186000000000.0,0.6992
188000000000.0,0.7112
190000000000.0,0.724
192000000000.0,0.7356
194000000000.0,0.7444
196000000000.0,0.754
198000000000.0,0.764
200000000000.0,0.7724
