outcome,prophylaxis,on_demand,difference_favouring_prophylaxis,relative_reduction,unit
Total bleeds,33.48242,150.27072,116.78830000000002,0.7771860013713917,events/patient
Joint bleeds,11.54382,107.267,95.72318,0.8923823729572002,events/patient
Non-major non-joint bleeds,21.77828,42.1116,20.333320000000004,0.48284368202585515,events/patient
Non-ICH major bleeds,0.15642,0.70476,0.54834,0.7780521028435212,events/patient
ICH events,0.0039,0.18736,0.18346,0.9791844577284373,events/patient
Pettersson score,0.37418,7.79114,7.41696,0.9519736521227959,points/patient
Post-ICH probability,0.001,0.04284,0.04184,0.976657329598506,probability
Mortality probability,0.0052,0.02106,0.01586,0.7530864197530864,probability
QALY,8.062674314200194,7.8223970983702245,0.24027721582996975,,QALY/patient
Life-years,10.970846877495443,10.883083142965914,0.08776373452952946,,LY/patient
