sensitivity_rank,parameter_id,parameter_description,unit,base_value,low_value,high_value,INMB_low_billion_IRR,INMB_high_billion_IRR,INMB_range_billion_IRR,ICER_low_billion_IRR_per_QALY,ICER_high_billion_IRR_per_QALY,any_endpoint_cost_effective,high_endpoint_type,linked_parameter_id,linked_endpoint_value
1,prophylaxis_iu_per_kg_week,25 IU/kg three times weekly,IU/kg/week,75.0,50.0,100.0,-16.15389060083093,-42.28135711136984,26.127466510538913,85.23022216247962,193.96906542020992,false,one_way,,
2,cost_discount_rate,Annual discount rate for costs,proportion/year,0.058,0.0,0.058,-43.65273994024888,-29.21762385610036,14.435116084148522,199.67656799860453,139.59964379134465,false,one_way,,
3,factor_price_irr_per_iu,Official unit price of plasma-derived SHL FVIII,IRR/IU,58000.0,46400.0,69600.0,-22.509101107892434,-35.9261466043084,13.417045496415962,111.67971503307588,167.51957254961388,false,one_way,,
4,joint_bleed_iu_per_kg,FVIII consumption per joint bleed,IU/kg/event,50.0,25.0,75.0,-31.40119611552341,-27.034051596677322,4.367144518846085,148.68736462197154,130.51192296071784,false,one_way,,
5,wtp_irr_per_qaly,Primary orphan-disease willingness-to-pay threshold,IRR/QALY,18000000000.0,1800000000.0,18000000000.0,-33.11011475254587,-29.21762385610036,3.892490896445511,139.59964379134465,139.59964379134465,false,one_way,,
6,ich_rate_on_demand,Direct annual ICH rate under on-demand treatment,event/patient-year,0.017,0.0085,0.0255,-30.694652652643732,-27.660417584107083,3.034235068536648,211.13110032768736,102.7993720716946,false,one_way,,
7,abr_on_demand,Annual bleeding rate under on-demand treatment,event/patient-year,13.8,12.0,15.6,-30.37927852182064,-28.055988176444142,2.3232903453764995,151.47684093298437,128.9666369939159,false,one_way,,
8,ich_case_fatality,Case fatality conditional on ICH,proportion,0.0833333333,0.01,0.2,-29.927783231287584,-28.121267895901944,1.8065153353856394,169.7442364291593,109.63096362655064,false,one_way,,
9,post_ich_sequela_probability,Persistent neurologic sequela among post-neonatal ICH survivors,proportion,0.2571428571,0.15,0.4,-29.977236810957727,-28.227136151290278,1.75010065966745,169.34171594721562,113.58660386472737,false,one_way,,
10,qaly_discount_rate,Annual discount rate for health outcomes,proportion/year,0.05,0.0,0.05,-27.607486532067227,-29.21762385610036,1.6101373240331307,101.7277349044778,139.59964379134465,false,one_way,,
11,minor_bleed_duration_days,Acute utility duration for minor bleeds,day/event,2.0,1.0,3.0,-29.87992290403216,-28.585739612511233,1.2941832915209275,164.84248171816267,121.80399011220025,false,one_way,,
12,abr_prophylaxis,Annual bleeding rate under prophylaxis,event/patient-year,3.05,2.1,4.0,-28.593979582689716,-29.84233712478517,1.2483575420954554,133.56783323205823,145.9949974217608,false,one_way,,
13,ajbr_on_demand,Direct annualized joint bleeding rate under on-demand treatment,event/patient-year,9.85,5.5,14.2,-29.21551503888442,-28.033035238984944,1.1824797998994752,139.57814508273285,128.23867990162407,false,linked_endpoint,abr_on_demand,15.6
14,non_major_non_joint_iu_per_kg,FVIII consumption per non-major non-joint bleed,IU/kg/event,50.0,25.0,75.0,-29.681039258201608,-28.754208453999134,0.9268308042024765,141.52831355930624,137.67097402338314,false,one_way,,
15,minor_bleed_decrement,Acute decrement for joint and non-major non-joint bleeds,utility,0.16,0.128,0.192,-29.487814237726322,-28.947422567067694,0.5403916706586304,148.90182531721518,131.39106176007365,false,one_way,,
16,post_ich_utility_cap,Permanent utility cap for persistent post-ICH sequela,utility,0.35,0.28,0.42,-29.00777930972467,-29.42746464490914,0.41968533518447115,133.13982163702022,146.7181463501326,false,one_way,,
17,utility_anchor,Common pediatric chronic-utility anchor,utility,0.952,0.9,0.99,-29.44306874921631,-29.052870559134227,0.3901981900820847,147.27659985264782,134.47696736240903,false,one_way,,
18,non_ich_major_fraction,GI plus neck/throat bleeds as a fraction of all bleeds,proportion,0.00468,0.00268,0.00668,-29.333243941737877,-29.100942762541536,0.23230117919633866,140.50765147111886,138.69066529002617,false,one_way,,
19,non_ich_major_iu_per_kg,Model-derived FVIII course per non-ICH major bleed,IU/kg/event,520.0,370.0,720.0,-29.292486061304956,-29.117807582494247,0.1746784788107071,139.91120976711147,139.18422249032233,false,one_way,,
20,non_ich_major_utility_cap,Acute utility cap for non-ICH major bleed,utility,0.65,0.15,0.86,-29.145466334211793,-29.246899772977436,0.10143343876564026,137.30880306654478,140.55103571317406,false,one_way,,
